key	nonce	ru
econ		Экономика
gov		Политическая система
soct		Общество
rel		Религия
for		Внешняя политика
legal		Безопасность
o		Я абсолютно не согласен со всеми этими мнениями
a		Меня не волнует этот вопрос
prev		Предыдущий вопрос
nota		Другое
idc		Апатия
cent		Смесь взглядов
com		Безденежная экономика
soc		Государственное планирование
socdem		Социально-ориентированный рынок
clas		Классический либерализм
ordo		Ордолиберализм
cap		Laissez-faire
opt		Смешанная экономика
marksoc		Планирование с элементами рынка
trad		Традиционализм
free		Свобода
prog		Умеренность
just		Социальная справедливость
sec		Секуляризм
athe		Антиклерикализм
theo		Государственная религия
hybr		Умеренная религия
dir		Прямая демократия
dir*		Электронная демократия
rep		Унитарная демократия
rep*		Федеративная демократия
repub		Федеративная республика
repub*		Конфедерация
auth		Авторитаризм
auth*		Монархия
anar		Анархизм
plut		Плутократия
glob		Интернационализм
glob*		Глобализм
pop		Национал-популизм
sov		Национальный суверенитет
iso		Изоляционизм
nat		Национализм
nat*		Империализм
open		Автономизм
decn		Децентрализация
lao		Закон и порядок
hum		Реформизм
hum*		Гуманизм
prot		Государственная безопасность
prot*		Тотальная безопасность
quizname		EcoPolCharts
nota	desc	Если вы получили «Другое», значит, ваше видение определённых вопросов не согласуется с основными мнениями, которые есть в этом тесте, упрощающим вопросы для подавляющего большинства людей. Может быть, у вас уже есть для себя конкретный ярлык ваших собственных взглядов.
idc	desc	«Апатия» — это отсутствие интереса к определённым вопросам. Они могут не затрагивать вас, или вы просто можете не считать, что какой-либо один вариант лучше других. Некоторые апатичные люди просто могут больше заботиться о нескольких других вопросах и быть апатичными в отношении других.
cent	desc	«Смесь взглядов» — это сочетание элементов нескольких чрезвычайно разных мнений по различным вопросам, отсутствие сильного предпочтения между разными взглядами.
com	desc	«Безденежная экономика» обозначает общественное устройство, производящее всё необходимое для удовлетворения потребностей людей без какой-либо денежной системы или оплаты. Как правило, такое описание подразумевает использование автоматизированного варианта экономики, основанной на компьютерном планировании с целью наиболее эффективного и быстрого способа распределения ресурсов.
soc	desc	Экономика контролируется государством во многих отраслях, а ресурсы обычно распределяются централизованно в соответствии с планом с целью предотвращения кризисов и неравенства. Частная промышленность обычно отвергается сторонниками планирования в пользу государственной. Рабочие при этом непосредственно владеют средствами производства и получают стоимость своего труда.
marksoc	desc	Сочетание государственного плана вместе с рыночной конкуренцией, использование рыночного механизма ценообразования в государственных предприятиях в целях предоставления им большей гибкости. Любой человек при такой системе может иметь возможность открыть малое предприятие, чтобы обеспечить выбор для потребителей и при этом гарантировать рабочим стоимость их труда.
socdem	desc	Сильное вмешательство государства в экономику с целью защиты социального благополучия граждан. Хотя такая система не отвергает капитализм, она стремится обязать государство сильнее финансировать программы социального обеспечения, регулировать рынок и следить за тем, чтобы результаты его работы были справедливыми и не вредили бедным.
opt	desc	Гибридный вариант экономики, сочетающий в себе как государственный сектор, так и частный с элементами свободного рынка. В основном, это можно описать как убеждение, что государственные предприятия должны производить базовые услуги по доступной цене, но также они должны конкурировать с частными рынками по ценам или качеству, чтобы дать людям лучшее из того и другого.
ordo	desc	Под «ордолиберализмом» понимается убеждение, что государство должно регулировать деятельность компаний, чтобы капитализм работал как можно лучше, обеспечивая малому бизнесу возможность конкурировать с крупным. Сторонники ордолиберализма твёрдо поддерживают капитализм, но считают, что государство должно обеспечивать конкуренцию в большинстве случаев.
clas	desc	Минимальное государственное вмешательство в экономику за исключением крайних случаев эксплуатации и ситуаций, когда компании не могут предоставить потребителю то, что они рекламировали. В остальном, сторонники «экономического либерализма» также твёрдо поддерживают систему рыночной экономики, частной собственности и свободного предпринимательства.
cap	desc	Полное отсутствие вмешательства государства (если оно вообще существует) в работу рынков, полагаясь исключительно на рыночные механизмы производства и распределения товаров через индивидуальный выбор потребителя. Приверженцы данной доктрины считают, что без регулирования рынки будут открыты для всех и, таким образом, сами установят справедливые цены.
dir	desc	Прямое участие людей в управлении государством, с возможностью влияния на политику посредством инициированных избирательных мер по выдвижению политических предложений и регулярного голосования по различным вопросам на национальных референдумах.
dir*	desc	Форма демократии с использованием интернет-технологий, позволяющим проводить частые и открытые референдумы в онлайн-формате с более интерактивным взаимодействием между пользователями; это также может принимать иные варианты организации, к примеру, когда человек может делегировать свой голос другому для создания более представительной формы электронной демократии.
rep	desc	Власть по большей части принадлежит национальному правительству, устанавливающему единую законодательную систему на всей территории страны, которая, как правило, не имеет в своём составе каких-либо региональных автономий или субъектов. Избирание в органы власти обычно происходит по партийным спискам с пропорциональным представительством на национальном уровне; каждый голос имеет равное количество мест.
rep*	desc	Разделение власти между национальным правительством и местными региональными органами власти с соблюдением баланса сил: провинции обладают умеренной автономией, но при этом национальное правительство является пропорциональным в масштабах страны, а не состоит из представителей, избираемых по округам.
repub	desc	Власть по большинству вопросов передана провинциям, которые обладают широкой автономией и полномочиями издавать собственные региональные законы. Представители, избираемые в местные органы власти, представляют конкретный округ, а не всю нацию в целом; распределение мест в законодательных органах взвешено таким образом, чтобы обеспечить влияние менее населённых провинций.
repub*	desc	Местные муниципальные органы власти являются основной территориальной единицей управления, которые обладают собственным суверенитетом, законодательством и имеют безусловное право на отделение; в то время как слабое национальное правительство имеет очень ограниченные полномочия. Фактически, конфедерация представляет собой союз небольших местных провинций с сильной децентрализации власти.
auth	desc	Правительством управляет один диктатор или другой подобный правитель, правящий страной пожизненно. Власть передаётся недемократическим путём — назначается предыдущим лидером страны и не зависит от народного ободрения. При этом народ, как правило, не имеет возможности существенно влиять на политику государства.
auth*	desc	Властью обладает единственный наследственный правитель-монарх, правящий пожизненно и обладающий правом единоличного принятия решений для всей нации, олицетворяющий её единство вместе с исторической преемственностью традиций. Власть передаётся недемократически — по наследству, и не зависит от народного ободрения. Народ зачастую не имеет какой-либо возможности влиять на политику государства.
anar	desc	Отсутствие государства и какой-либо принудительной власти человека над человеком. В обществе очень сильно развиты децентрализация и самоуправление в виде независимых собраний людей, самостоятельно управляющих самими собой. Анархизм выступает решительно против вмешательства правительства в жизнь граждан и сильно подчёркивает свободу личности.
plut	desc	Власть принадлежит только богатым людям, имеющим наибольшую долю в правительстве за счёт большего богатства и денежных средств. Плутократия может включать в себя управление страной как частной мегакорпорацией, или форму устройства, при которой государственная власть сращивается с бизнесом.
trad	desc	Стремление к сохранению статус-кво и традиционных моральных устоев; противление прогрессу и новым технологиям, которые могут разрушить устоявшиеся социальные институты. Чаще всего это означает следование консервативным взглядам и продвижение традиционных ценностей, таких как религия, патриотизм, патриархальная семья и брак.
free	desc	Право человека свободно распоряжаться своей личной жизнью и делать с собой и своим телом всё, что он хочет, пока это не вредит остальным. Убеждение в том, что человек имеет право на неприкосновенность и свободу жить по своему усмотрению, без какого-либо контроля, регулирования или вмешательства в это со стороны правительства или кого-либо ещё.
prog	desc	Умеренно-нейтральная позиция по многим общественным, социальным, культурным и этическим вопросам. Постепенное признание развития технологий и цивилизации и вера в то, что мы как общество способны решать, учитывая положительные и отрицательные стороны изменений, что правильно, а что нет, в каждом конкретном случае.
just	desc	Убеждение в том, что политика и технологические достижения должны быть тщательно разработаны, чтобы применяться равномерно и не оказывать несправедливого влияния на уязвимые слои общества, например, на бедных или меньшинства. Стремление к прогрессу с целью снизить уровень неравенства и помочь неуспешным людям стать лучше и счастливее.
sec	desc	Под «Секуляризмом» понимается полное отделение церкви от государства, а также убеждение, что государство должно быть светским и оставаться нейтральным в вопросах религии, не поддерживая ни религию, ни атеизм.
athe	desc	Под «Антиклерикализмом» понимается убеждение, что правительство должно быть нерелигиозным, и по возможности содействовать атеизму, но не насаждя его. Они считают, что отдельные члены правительства и часть населения могут быть религиозными, но они не должны влиять на политику, основываясь на своей религии. Они считают, что людей следует обучать только науке и фактам, а не религии.
theo	desc	Под «Государственной (официальной) религией» понимается убеждение, что правительство должно поощрять религию в стране. Они считают, что религия важна для народа и что правительство не должно воздерживаться от ее преподавания и включения в национальную собственность.
hybr	desc	Под «Умеренной религии» понимается убеждение, что государство и церковь могут сосуществовать, но государство не должно отдавать предпочтение какой-либо религии. Приверженцы данного убеждения выступают за баланс религий в школах и в правительстве, пока оно не отдает предпочтение какой-либо конкретной религии или не навязывает ее кому-либо.
decn	desc	Те, кто верит в «Децентрализованную безопасность», считают, что правительство не должно гарантировать безопасность для населения, и вместо этого полагают, что люди должны взять свою безопасность в собственные руки. Обычно они твердо верят в право на оружие и выступают против тюрем и полиции.
lao	desc	Сторонники «Закона и порядка» считают, что лучший способ предотвращения преступлений — это строгие наказания и риски для сдерживания преступников. Они обычно считают, что тех, кто нарушает закон, следует наказывать по всей строгости закона, а также поддерживают карательное правосудие, а не реабилитацию.
hum	desc	Сторонником «Реформизма» называется человек, который считает, что правительство должно обеспечивать безопасность своих граждан, уважая их частную жизнь. Реформисты считают, что для обращения с оружием необходимо пройти обучение, но также поддерживают права на неприкосновенность частной жизни и реабилитацию.
hum*	desc	Сторонники «Гуманизма» считают, что большинство людей в основе своей добрые, и что им следует доверять до тех пор, пока они не покажут, что не заслуживают этого доверия. Они поддерживают реабилитацию, право на забастовки и протесты, а также выступают против полицейского террора со стороны государства.
prot	desc	Сторонники «Государственной безопасности» считают, что частная жизнь не имеет значения по сравнению с гарантией безопасности, и обычно выступает за постоянную слежку и устранение любой угрозы восстания. Они считают, что население должно следовать закону любыми средствами.
prot*	desc	Сторонники «Тотальной безопасности» считают, что государство должно подавлять инакомыслие. Они считают, что население должно следовать закону любыми средствами, и что никто не должен рассчитывать на неприкосновенность частной жизни, поэтому каждый должен следовать закону.
glob	desc	«Интернационализм» рассматривается как обязанность нации служить интересам всех людей в мире, а не только своим собственным. Сторонники интернационализма считают, что нация должна принимать меры по улучшению жизни в мире посредством гуманитарных акций за рубежом, и что нация должна быть гостеприимной к иностранцам и оказывать им помощь, когда это необходимо.
glob*	desc	«Глобализм» означает убеждение, что мы, как человечество — один мир, граждане планеты Земля, и что мы все должны заботиться друг о друге. Идеалом для глобалиста является дипломатическое объединение всех стран в единое мировое правительство, способное позаботиться обо всех людях. А пока этого не произошло, они верят в доброжелательное отношение к иммигрантам и беженцам.
pop	desc	Под «Национал-популизмом» пониается убеждение, что всё делается для блага народа страны. Они обычно поддерживают международные договоры, если они могут принести пользу населению страны, и выступают против договоров, которые могут подвергнуть их риску или лишить их прав.
sov	desc	Под национальным «Суверенитетом» понимается убеждение, что нация должна иметь абсолютное право контролировать свои законы. Эти люди считают, что нация должна иметь право контролировать свои границы и законы, и будут выступать против сделок и организаций, которые угрожают отобрать у нации часть этой власти.
iso	desc	«Изоляционизм» означает, что нация должна оставаться сосредоточенной внутри страны и игнорировать внешний мир. Они обычно верят в полный запрет на въезд людей в страну и выступают против любых соглашений с другими государствами.
nat	desc	«Национализм» означает, что во внешней политике на первом месте стоят интересы государства. Националисты могут поддерживать сделки с другими странами, которые могут дать государству больше власти, и они обычно поддерживают иммиграцию только в том случае, если иммигранты восполняют дефицит или иным образом добавляют что-то для государства.
nat*	desc	«Империализм» означает то, что нация должна делать всё, что в её силах, чтобы улучшить себя. Это включает в себя военный захват земель, на которые она претендует, и, если это служит интересам нации, захват еще больших земель, которые должны принадлежать нации.
open	desc	Под «Автономизмом» понимается убеждение, что центральное правительство не должно быть настолько велико, чтобы иметь возможность действительно проводить внешнюю политику. Они обычно твердо верят в открытые границы и хотят позволить людям свободно приезжать и уезжать из страны, и обычно выступают против национального языка или культуры. Сторонники этой модели обычно не делают многого за границей и не решаются заключать сделки, которые могут повлечь за собой риск ущемления свободы.
healthcare		Здравоохранение
healthcare	0	Я поддерживаю частное страхование и поставщиков платных медицинских услуг, но при условии, что цены будут конкурентоспособными по отношению к затратам на их производство, и преследовании любых случаев ценового сговора.
healthcare	1	Я не хочу запрещать частное здравоохранение или страхование, но я хочу, чтобы был государственный вариант, который обеспечит справедливые цены, который выведет из бизнеса частные компании, использующие клиентов в своих интересах.
healthcare	2	И здравоохранение, и лечение должны напрямую предоставляться бесплатно и гарантироваться всем гражданам государством.
healthcare	3	У нас должен быть не один, а много государственных вариантов медицинского обслуживания. Все они должны оплачиваться, но вы сможете выбрать тот, в котором, по вашему мнению, лучшее обслуживание, чтобы создать конкуренцию между ними.
healthcare	4	Здравоохранение должно быть предоставлено свободному рынку. Если поставщики платных медицинских услуг или страховщики не будут предоставлять доступные услуги, у них не будет клиентов, и они обанкротятся.
healthcare	5	Медицинские услуги должны быть частными, но правительство должно создать систему единого плательщика, чтобы никому не нужно было беспокоиться о том, чтобы позволить себе необходимое медицинское обслуживание.
healthcare	6	Разрешение поставщикам платных медицинских услуг свободно устанавливать свои собственные цены позволяет им финансировать дополнительные исследования и приносит пользу всем нам, предоставляя новые, лучшие методы лечения.
minwage		Минимальная заработная плата
minwage	0	Все компании должны быть обязаны справедливо распределять прибыль между своими сотрудниками. Любой человек, стоящий во главе компании, не должен иметь права получать значительно большую зарплату, чем те, кто находится в самом низу компании.
minwage	1	Должна существовать национальная программа, гарантирующая работу с зарплатой, на которую люди могут комфортно жить, работая над такими вещами, как улучшение инфраструктуры. Компании, которые платят меньше этой зарплаты, будут испытывать трудности с поиском работников для заполнения своих вакансий.
minwage	2	Большинство работающих людей должны получать стоимость своего труда (с минимальным, комфортным прожиточным минимумом). Также должна быть установлена максимальная заработная плата, а менеджерам и руководителям следует платить гораздо меньше.
minwage	3	Людям должен быть гарантирован прожиточный минимум от их работы. Они должны иметь возможность работать на одной работе с разумной продолжительностью рабочего дня и иметь гарантированный достаток, чтобы позволить себе всё необходимое.
minwage	4	Минимальной заработной платы быть не должно. Рынки сами определят, сколько стоит труд, и позволят нам поддерживать конкурентоспособные цены по сравнению с товарами, произведенными с использованием иностранной рабочей силы.
minwage	5	Должен быть умеренный прожиточный минимум, который не приведёт к банкротству малого бизнеса, а также налог на крупные компании с большим количеством работников за чертой бедности, чтобы оплатить все социальные пособия, которые получают их работники, и обеспечить конкурентоспособность малого бизнеса.
minwage	6	Рабочие должны иметь минимальную заработную плату, чтобы предотвратить гонку на дно, но руководители компаний разрабатывают идеи для своего бизнеса и берут на себя риски при его основании и поэтому заслуживают большую часть прибыли своей компании.
minwage	7	Люди должны производить столько, сколько могут, и потреблять столько, сколько им нужно. Понятия денег не должно существовать.
isp		Провайдеры интернет-услуг
isp	0	Мы должны регулировать деятельность интернет-провайдеров, чтобы гарантировать, что они обеспечивают общенациональное покрытие и что везде есть несколько вариантов, чтобы обеспечить конкуренцию, и преследовать их в судебном порядке, если компании заключают сделки, позволяющие им создавать региональные монополии.
isp	1	Для провайдеров дорого подключать районы к интернету. Они будут делать все возможное, чтобы обеспечить покрытие по доступной цене, и их следует наказывать только в том случае, если они не смогут обеспечить качество и надёжность интернета, которые они рекламировали.
isp	2	За счёт налогов правительство должно субсидировать многочисленных поставщиков интернет-услуг, охватывающих все районы страны, в обмен на ценовые гарантии, чтобы у каждого было несколько доступных вариантов подключения к интернету.
isp	3	У нас должен быть национальный интернет-провайдер, который гарантирует доступный, надёжный, высокоскоростной интернет на всей территории страны. Частные компании должны будут конкурировать с ним в качестве базового уровня.
isp	4	Поставщики услуг высокоскоростного интернета должны быть национализированы. Они не могут обеспечить честную конкуренцию из-за стоимости прокладки кабелей, особенно в сельской местности.
isp	5	Мы должны сделать возможным для людей создание поддерживаемых правительством интернет-провайдеров в их регионе. Они будут принадлежать государству, и люди смогут выбирать, какого интернет-провайдера они хотят среди имеющихся в районе вариантов, создавая таким образом конкуренцию между ними.
isp	6	Интернет-провайдеры не должны регулироваться и сами будут находить справедливую цену за интернет, которая может варьироваться в зависимости от того, насколько дорого подключить тот или иной район, исходя из того, сколько это стоит.
ubi		Социальное обеспечение
ubi	0	Трата значительных денежных средств бюджета на социальную поддержку рабочих и повышение им зарплат нанесёт ущерб экономике, поэтому я не могу это поддержать.
ubi	1	Желательно, чтобы социальные программы оплачивались крупными компаниями, передающими на аутсорсинг или автоматизирующими рабочие места, почти в той же степени, что и разница в затратах, чтобы позволить малому бизнесу оставаться конкурентоспособным.
ubi	2	Бедным людям должен быть гарантирован прожиточный минимум посредством государственных программ, со скидками для пожилых людей и тех, кто находится в нищете.
ubi	3	Все рабочие должны быть социально обеспечены; пособия же для безработных и нетрудоспособных должны быть значительно увеличены: базовые нужды тех, кто находится на пенсии или не может работать по состоянию здоровья, должны быть безоговорочно удовлетворены.
ubi	4	Я поддерживаю расходы на социальное обеспечение, состоящие из прибыли государственных компаний, чтобы распределить их успехи и обеспечить минимальный риск для менее успешных государственных компаний.
ubi	5	Вместо того чтобы начинать налогообложение с 0%, следует установить порог: те, чьё состояние находится ниже порога, должны получать небольшие денежные средства социальной поддержки; а те, кто зарабатывают больше этого порога, должны облагаться налогом.
utilities		Коммунальные услуги
utilities	0	Коммунальные службы найдут справедливую конкурентную цену. Они не должны регулироваться, даже если только одна компания обслуживает район. Они должны конкурировать, потому что люди будут принимать их во внимание при выборе района для проживания.
utilities	1	Коммунальные услуги должны принадлежать местным государственным компаниям и предоставляться для небольшой группы населения, которую они обслуживают. У людей будет выбор, услуги какой компании использовать, обеспечивая таким образом конкуренцию между ними.
utilities	2	Коммунальные услуги, такие как электричество и вода, должны быть национализированы. Это общественные блага, которые нужны всем. Общественный контроль позволяет добиться наилучшего качества, поскольку во многих местах существует только один вариант.
utilities	3	Правительство должно субсидировать коммунальные компании, расширяющие свою деятельность во всех районах страны. В обмен на эту помощь компании должны гарантировать справедливую цену и другие гарантии, например, определённый процент возобновляемой электроэнергии каждый год.
utilities	4	Создание коммунальной инфраструктуры обходится компаниям дорого, и от них следует ожидать установления справедливой прибыльной цены, чтобы окупить свои инвестиции в разумные сроки.
utilities	5	Мы должны иметь национальные коммунальные компании, но не запрещать частные компании. Если они смогут найти рынок сбыта, то смогут конкурировать с национализированными вариантами.
utilities	6	Коммунальные услуги должны регулироваться для обеспечения совместимости систем, чтобы несколько компаний могли подключаться к одному и тому же зданию. Мы должны преследовать монополии, которые не предоставляют выбора.
education		Образование
education	0	По большей части у нас должно быть платное образование с частными школами, но государство должно предоставлять ваучеры бедным, чтобы каждый ребёнок мог позволить себе посещать школу.
education	1	Школы должны быть государственными, однако родители и ученики должны иметь возможность выбирать, какую государственную школу посещать, обеспечивая конкуренцию.
education	2	Все школы должны принадлежать государству, а образование должно быть бесплатным и гарантироваться всем. Это облегчит обеспечение равных возможностей для успеха всех наших учеников.
education	3	Должна быть смесь государственных и частных школ, однако государственные школы должны получать большое финансирование, чтобы наши дети получали хорошее образование и чтобы они были конкурентоспособны по сравнению с частными школами.
education	4	Государственных школ быть не должно, образование должно быть полностью платным. Государство не должно быть обязано предоставлять образование тем, кто не может его себе позволить.
outsourcing		Аутсорсинг
outsourcing	0	Государство должно национализировать всё производство в стране и не передавать рабочие места на аутсорсинг.
outsourcing	1	Мы должны иметь национальное производство, субсидируемое налогами, чтобы цены были конкурентоспособными по сравнению с работой, переданной на аутсорсинг. Покупатели могут сами решать, что лучше.
outsourcing	2	Мы должны отменить минимальную заработную плату здесь. Тогда затраты на производство здесь будут ниже, чем на производство за рубежом и доставку сюда.
outsourcing	3	Мы должны регулировать деятельность компаний, чтобы предоставлять субсидии и государственные закупки только тем предприятиям, которые осуществляют ключевое производство внутри страны, а не за рубежом.
outsourcing	4	Аутсорсинг ручного труда позволяет нашим гражданам иметь дешёвые товары и не заниматься рутинным ручным трудом, позволяя выполнять здесь сложную работу.
outsourcing	5	Государство должно владеть большей частью промышленности, но должно допускать конкуренцию между ними, чтобы не было только одного выбора. Поскольку они принадлежат государству, мы можем гарантировать, что все они производятся внутри страны.
outsourcing	6	Мы должны ввести большие пошлины на товары, произведённые в странах с худшими трудовыми правами, чем у нас, чтобы компании могли производить всё здесь и иметь честную конкуренцию.
bankcrash		Крах банка, который нанесёт ущерб экономике
bankcrash	0	Мы должны создать единый национальный банк, принадлежащий государству, и купить все существующие банки, включая тот, который терпит крах. Это гарантирует, что все смогут платить по одинаковым ставкам, и что мы сможем взять на себя долг обанкротившегося банка.
bankcrash	1	Проблема в том, что у нас есть частные мегабанки. Вместо этого у нас должны быть местные общественные банки, принадлежащие местному правительству, которые работают в интересах общин, которые они представляют, и финансируют бизнес в этом районе.
bankcrash	2	Мы не должны вмешиваться в свободные рынки. Они потерпят неудачу, и в конечном итоге экономика восстановится сама собой.
bankcrash	3	Мы должны разбить крупные банки, пока они не дошли до ситуации, когда подобный крах может быть вызван одной компанией.
bankcrash	4	Мы должны выручить банк, чтобы спасти экономику, но в конечном итоге заставить банк вернуть деньги с процентами.
bankcrash	5	Мы должны купить этот банк и управлять им как национальным банком. Другие банки могут конкурировать с нами, но мы можем гарантировать, что не обанкротимся.
bankcrash	6	Банки не должны существовать ни в какой форме.
highways		Автомобильные дороги
highways	0	Автодороги должны находиться в собственности местных органов власти и финансироваться из их бюджетов. Это гарантирует, что они учитывают пожелания местных сообществ.
highways	1	Автодороги должны быть приватизированы. Частные автодороги гарантируют, что ими могут пользоваться только те, кто за них платит, что стимулирует развитие инфраструктуры.
highways	2	Многие автодороги должны быть государственными, но также следует разрешить строительство частных автомагистралей, чтобы они могли конкурировать. Если их качество или расположение позволяет им быть прибыльными, потому что люди выбирают их, это положительный момент для всех.
highways	3	Автодороги должны управляться государством. Это позволит нам гарантировать качество дорог по всей стране, бесплатное для всех, и нанять много людей для работы по обеспечению высокого качества.
debt		Государственный долг
debt	0	Мы должны брать на себя долговые обязательства как для улучшения экономики, так и для инвестиций в наше население способами, которые в долгосрочной перспективе окупятся. Мы должны оплачивать этот долг путём повышения налогов на крупные компании.
debt	1	Государство должно контролировать валюту. Мы можем печатать больше денег, когда они нам нужны, и законодательно поддерживать цены на одном уровне, чтобы инфляция не стала проблемой.
debt	2	Мы должны помнить о долгах и выплачивать их по мере возможности. Когда экономика переживает спад, мы должны тратить средства, чтобы помочь ей выжить, но мы должны сократить государственные расходы и вернуть долг, когда экономика снова пойдёт в гору.
debt	3	Наличие государственного долга — это не плохо, и мы не должны сокращать программы расходов для его погашения, хотя у нас должен быть план, прежде чем его увеличивать.
debt	4	У государства не должно быть долга, потому что оно не должно тратить деньги. Мы должны сократить все программы расходов и как можно быстрее погасить долг.
debt	5	Валюта не должна существовать, и, как следствие, долг не должен существовать.
consumergoods		Производство потребительских товаров
consumergoods	0	Принадлежащая государству промышленность должна производить все потребительские товары для населения.
consumergoods	1	Любой человек должен иметь возможность основать государственную компанию, которая может производить конкурирующие потребительские товары.
consumergoods	2	Государство не должно производить потребительские товары, их должны производить рынки.
consumergoods	3	Государство должно производить потребительские товары, чтобы обеспечить доступную цену, однако свободный рынок должен иметь возможность конкурировать с ним.
consumergoods	4	Государство должно регулировать потребительские товары для обеспечения безопасности и соответствия стандартам, но не производить их.
consumergoods	5	Государство должно гарантировать потребительские товары для удовлетворения потребностей каждого, предоставляемые теми, кто способен их производить, без какой-либо валюты.
elections		Выборы
elections	0	У людей должно быть право голоса, но оно должно быть взвешено географически, по крайней мере, для одной палаты законодательного органа, чтобы гарантировать, что какой-либо один регион не мог доминировать в законодательном органе.
elections	1	Выборы — важный элемент демократии. Каждый человек должен иметь голос, и все голоса должны учитываться одинаково.
elections	2	Правительства не должно быть и, как следствие, выборов тоже, чтобы назначать людей на должности.
elections	3	Голосование — действительно ненужный процесс, прихоти масс не имеют значения.
elections	4	Те, кто вкладывает больше денег в правительство, заслуживают получить больше от своего голоса.
representation		Представители
representation	0	Я не хочу представительства, я хочу, чтобы правительство было упразднено.
representation	1	Мне нужен представитель, которого я могу подкупить, чтобы добиться приоритета моей законодательной программы.
representation	2	Я хочу иметь представителя, избранного народом, который будет представлять интересы населения той области, где он работает.
representation	3	Я хочу иметь лидера, который обеспечит стабильность благодаря силе и пожизненному правлению.
representation	4	Я хочу иметь возможность голосовать напрямую по большинству вопросов на референдумах. Представители чаще всего не должны перехватывать эту инициативу в свои руки.
concentration		Концентрация власти
concentration	0	Власть должна быть децентрализована для всех, а важные решения в конечном итоге должны приниматься на частых общенациональных референдумах. Люди обычно знают, чего они хотят, и способны разобраться в вопросах при небольшом объяснении.
concentration	1	Мы должны распределять власть по регионам страны, при этом представители каждого региона должны определять национальную политику, но также оставлять многие вопросы на усмотрение самих регионов.
concentration	2	Власть должна быть сосредоточена в зависимости от уровня богатства. Граждане, которые богаче, имеют бóльшую долю в правительстве и в большинстве случаев понимают как специализацию, так и то, как люди думают, чего они хотят, что позволило им стать богатыми.
concentration	3	Никто не должен иметь право издавать законы, у людей должна быть свобода самим решать, что неправильно, а что оправдано.
concentration	4	Нам прежде всего нужен один единственный лидер, который мог бы править пожизненно и быть способен полностью понять общую картину. Не заботясь о том, что думает общество, лидер может принимать лучшие решения для всей нации самостоятельно.
concentration	5	Власть должна быть распределена между всеми через большой законодательный орган, в котором достаточно людей, чтобы представлять взгляды каждого человека. Политики должны иметь возможность тратить всё свое время на то, чтобы разбираться в проблемах, слушать экспертов и оценивать общую картину.
districts		Округа
districts	0	Мы должны иметь людей, представленных в нашем законодательном органе пропорционально их голосам на общенациональном уровне. Если 15% населения страны поддерживает какую-либо партию, то 15% законодательного органа должны быть представлены этой партией.
districts	1	В стране должны быть одномандатные округа с депутатами, представляющими примерно одинаковое количество людей, но с гарантированным минимальным представительством для географических районов.
districts	2	Представители зачастую мешают демократии. Вместо представительства мы должны чаще напрямую голосовать по всем важным вопросам на национальном уровне.
districts	3	Должен быть один неизбираемый правитель, который представляет всех, учитывая интересы всей нации при принятии решений.
districts	4	Каждый человек должен заботиться о своих собственных интересах, не через правительство или голосование, а своими собственными средствами.
districts	5	Представители должны представлять равное количество земли. Если вы вложили в страну достаточно средств, чтобы владеть целым округом земли, вы, вероятно, заинтересованы в успехе страны и должны быть представлены в округе.
trait		Самые важные черты политического лидера
